datasets,mean,sd
body_acc_x_test,-7.377533402595185e-4,0.1843099597839783
body_acc_y_test,-3.8040075866088236e-4,0.12060300882648711
body_acc_z_test,-2.5951823606052654e-5,0.09553522277597087
body_gyro_x_test,-0.013185089644553907,0.3965169238216248
body_gyro_y_test,0.0014554008668510483,0.3404456936808041
body_gyro_z_test,0.0028496090161372,0.249416346704445
total_acc_x_test,0.8172633029199372,0.40651314220036355
total_acc_y_test,0.0043493509265724786,0.4120410629054464
total_acc_z_test,0.08067054810255841,0.30792560977833794
body_acc_x_train,-6.36303057857952e-4,0.19484644310864863
body_acc_y_train,-2.9229685563159053e-4,0.12242754628171293
body_acc_z_train,-2.752994123894849e-4,0.10687886276772536
body_gyro_x_train,5.064646739168526e-4,0.40681528094824904
body_gyro_y_train,-8.237808313409109e-4,0.3818545214689984
body_gyro_z_train,1.1294843854608704e-4,0.2557432750301793
total_acc_x_train,0.8047492794305839,0.41411216603623435
total_acc_y_train,0.028755486485393545,0.390995633794308
total_acc_z_train,0.0864980162711779,0.3577689973828338
